date,Penn Jillette,Priscilla Presley,Shannon Elizabeth,Steve Guttenberg,Dancing with the Stars,isPartial
2008-03-17,0,2,2,0,36,False
2008-03-18,1,8,5,6,88,False
2008-03-19,0,46,9,1,95,False
2008-03-20,0,8,3,1,36,False
2008-03-21,0,4,2,0,20,False
2008-03-22,0,3,3,0,15,False
2008-03-23,0,4,3,0,13,False
2008-03-24,0,4,2,0,21,False
2008-03-25,1,26,9,2,90,False
2008-03-26,2,19,7,2,100,False
2008-03-27,0,9,2,1,28,False
2008-03-28,1,5,1,0,15,False
2008-03-29,0,4,2,0,11,False
2008-03-30,0,3,2,0,10,False
2008-03-31,0,2,1,0,13,False
2008-04-01,0,17,8,2,65,False
2008-04-02,0,9,6,5,85,False
2008-04-03,0,4,2,1,27,False
2008-04-04,0,2,3,1,12,False
2008-04-05,0,2,2,0,10,False
2008-04-06,0,4,2,0,10,False
2008-04-07,0,2,1,0,11,False
2008-04-08,0,6,10,0,57,False
2008-04-09,0,4,9,0,73,False
2008-04-10,0,2,3,0,20,False
2008-04-11,0,1,2,0,14,False
2008-04-12,0,1,3,0,8,False
2008-04-13,0,3,3,0,8,False
2008-04-14,0,1,1,0,10,False
2008-04-15,0,7,8,0,59,False
2008-04-16,0,11,7,0,76,False
2008-04-17,0,4,2,0,22,False
2008-04-18,0,4,9,0,14,False
2008-04-19,0,4,8,0,14,False
2008-04-20,0,3,6,0,10,False
2008-04-21,0,2,7,0,12,False
