date,Adam Carolla,Cristian de la Fuente,Jason Taylor,Kristi Yamaguchi,Dancing with the Stars,isPartial
2008-03-17,1,0,2,1,36,False
2008-03-18,4,1,12,1,88,False
2008-03-19,3,0,3,6,95,False
2008-03-20,2,0,1,2,36,False
2008-03-21,2,0,1,1,20,False
2008-03-22,2,0,1,0,15,False
2008-03-23,1,0,2,1,13,False
2008-03-24,2,0,1,0,21,False
2008-03-25,4,1,15,4,90,False
2008-03-26,3,0,9,3,100,False
2008-03-27,1,0,2,1,28,False
2008-03-28,2,0,1,0,15,False
2008-03-29,0,0,0,0,11,False
2008-03-30,1,0,0,0,10,False
2008-03-31,1,0,1,0,13,False
2008-04-01,3,1,9,3,65,False
2008-04-02,3,0,3,2,85,False
2008-04-03,2,0,1,0,27,False
2008-04-04,1,0,1,0,12,False
2008-04-05,1,0,1,0,10,False
2008-04-06,1,0,1,0,10,False
2008-04-07,1,0,1,0,11,False
2008-04-08,2,1,6,3,57,False
2008-04-09,5,1,3,2,73,False
2008-04-10,2,0,1,1,20,False
2008-04-11,2,0,1,1,14,False
2008-04-12,2,0,1,0,8,False
2008-04-13,1,0,1,0,8,False
2008-04-14,1,0,1,1,10,False
2008-04-15,1,0,6,4,59,False
2008-04-16,0,1,2,3,76,False
2008-04-17,1,0,1,1,22,False
2008-04-18,1,0,1,1,14,False
2008-04-19,1,0,2,0,14,False
2008-04-20,1,0,1,0,10,False
2008-04-21,1,0,1,0,12,False
