date,Kenny Mayne,Lisa Rinna,Master P,Stacy Keibler,Dancing with the Stars,isPartial
2005-11-10,0,0,20,0,0,False
2005-11-11,0,0,15,13,0,False
2005-11-12,0,0,0,0,0,False
2005-11-13,0,0,20,0,0,False
2005-11-14,0,0,12,17,0,False
2005-11-15,0,0,0,17,0,False
2005-11-16,0,0,21,15,0,False
2005-11-17,0,0,0,0,0,False
2005-11-18,0,0,0,0,0,False
2005-11-19,0,0,0,29,0,False
2005-11-20,0,0,20,31,0,False
2005-11-21,0,0,0,13,26,False
2005-11-22,0,0,0,15,0,False
2005-11-23,0,0,0,23,24,False
2005-11-24,0,0,24,21,0,False
2005-11-25,0,18,0,21,21,False
2005-11-26,0,0,0,30,0,False
2005-11-27,0,0,0,20,0,False
2005-11-28,0,0,0,12,28,False
2005-11-29,0,0,0,0,19,False
2005-11-30,0,0,11,12,14,False
2005-12-01,0,0,0,14,0,False
2005-12-02,0,0,0,22,0,False
2005-12-03,0,0,0,19,0,False
2005-12-04,0,0,0,27,0,False
2005-12-05,0,0,0,0,81,False
2005-12-06,0,0,13,26,40,False
2005-12-07,0,0,0,12,30,False
2005-12-08,0,0,17,0,20,False
2005-12-09,0,0,0,26,44,False
2005-12-10,0,0,0,100,46,False
2005-12-11,0,20,23,39,35,False
2005-12-12,0,23,0,33,40,False
2005-12-13,0,0,0,14,25,False
2005-12-14,0,0,0,14,17,False
2005-12-15,0,0,0,17,32,False
2005-12-16,0,0,0,0,30,False
2005-12-17,0,0,0,0,18,False
2005-12-18,0,0,0,0,24,False
2005-12-19,0,0,0,21,23,False
2005-12-20,0,0,0,16,20,False
2005-12-21,0,0,0,30,30,False
2005-12-22,0,0,13,13,24,False
2005-12-23,0,0,0,15,15,False
2005-12-24,0,0,0,0,0,False
2005-12-25,0,0,0,0,39,False
2005-12-26,0,0,0,25,33,False
2005-12-27,0,0,0,22,29,False
2005-12-28,0,0,0,0,30,False
2005-12-29,0,0,0,0,20,False
2005-12-30,0,0,0,20,41,False
2005-12-31,0,0,0,23,32,False
2006-01-01,0,0,0,0,42,False
2006-01-02,0,0,0,33,59,False
2006-01-03,0,11,0,29,44,False
2006-01-04,0,0,0,23,63,False
