date,Kim Kardashian,Lance Bass,Maurice Greene,Misty May-Treanor,Dancing with the Stars,isPartial
2008-07-28,18,0,1,0,3,False
2008-07-29,20,0,0,0,3,False
2008-07-30,18,0,0,0,5,False
2008-07-31,20,1,0,0,4,False
2008-08-01,19,0,0,0,4,False
2008-08-02,27,0,0,0,4,False
2008-08-03,24,0,0,0,4,False
2008-08-04,18,0,0,0,5,False
2008-08-05,27,0,0,0,5,False
2008-08-06,25,0,0,0,8,False
2008-08-07,28,0,0,0,8,False
2008-08-08,21,0,0,1,7,False
2008-08-09,34,0,0,2,4,False
2008-08-10,31,0,0,3,3,False
2008-08-11,25,0,0,2,5,False
2008-08-12,19,0,0,4,5,False
2008-08-13,17,0,0,2,5,False
2008-08-14,17,0,0,3,5,False
2008-08-15,21,1,0,4,4,False
2008-08-16,30,0,0,1,3,False
2008-08-17,31,0,0,2,4,False
2008-08-18,18,0,0,2,7,False
2008-08-19,18,0,0,4,7,False
2008-08-20,26,0,0,2,7,False
2008-08-21,20,0,0,10,7,False
2008-08-22,20,0,1,4,9,False
2008-08-23,25,0,0,2,7,False
2008-08-24,27,0,0,2,11,False
2008-08-25,40,3,4,6,100,False
2008-08-26,34,1,1,2,67,False
2008-08-27,25,1,0,1,34,False
2008-08-28,28,1,0,1,20,False
2008-08-29,33,0,0,0,14,False
2008-08-30,37,0,0,1,16,False
2008-08-31,37,0,0,0,15,False
2008-09-01,38,0,0,1,12,False
2008-09-02,24,0,0,0,10,False
2008-09-03,19,0,0,0,10,False
2008-09-04,17,0,0,0,8,False
2008-09-05,18,1,0,0,7,False
2008-09-06,25,0,0,0,7,False
2008-09-07,27,1,0,0,9,False
2008-09-08,20,0,0,0,8,False
2008-09-09,17,0,0,0,9,False
2008-09-10,18,1,0,0,10,False
2008-09-11,16,0,0,0,7,False
2008-09-12,18,0,0,0,6,False
2008-09-13,23,0,0,0,6,False
2008-09-14,24,0,0,0,8,False
2008-09-15,16,0,0,0,9,False
2008-09-16,16,1,0,0,11,False
2008-09-17,17,0,0,0,9,False
2008-09-18,18,1,0,0,8,False
2008-09-19,18,1,0,0,9,False
2008-09-20,23,0,0,0,9,False
2008-09-21,28,0,0,0,14,False
