date,Albert Reed,Cameron Mathison,Floyd Mayweather Jr.,Helio Castroneves,Dancing with the Stars,isPartial
2007-07-30,0,0,0,0,2,False
2007-07-31,0,0,0,0,2,False
2007-08-01,0,0,0,0,2,False
2007-08-02,0,0,0,0,4,False
2007-08-03,0,0,0,0,3,False
2007-08-04,0,0,0,0,0,False
2007-08-05,0,0,0,0,3,False
2007-08-06,0,0,0,0,2,False
2007-08-07,0,0,0,0,3,False
2007-08-08,0,0,0,0,3,False
2007-08-09,0,1,0,0,4,False
2007-08-10,0,0,0,0,3,False
2007-08-11,0,0,0,0,2,False
2007-08-12,0,0,0,0,2,False
2007-08-13,0,0,0,0,5,False
2007-08-14,0,0,0,0,5,False
2007-08-15,0,0,0,0,4,False
2007-08-16,0,0,0,0,5,False
2007-08-17,0,0,0,0,6,False
2007-08-18,0,0,0,0,5,False
2007-08-19,0,0,0,0,5,False
2007-08-20,0,0,0,0,6,False
2007-08-21,0,0,0,0,7,False
2007-08-22,0,0,0,0,7,False
2007-08-23,0,0,0,0,6,False
2007-08-24,0,0,0,0,7,False
2007-08-25,0,0,0,0,8,False
2007-08-26,0,0,0,0,8,False
2007-08-27,0,0,0,1,22,False
2007-08-28,0,0,0,1,32,False
2007-08-29,20,11,0,8,100,False
2007-08-30,6,3,0,1,62,False
2007-08-31,1,0,0,1,34,False
2007-09-01,0,0,0,0,21,False
2007-09-02,2,0,0,1,16,False
2007-09-03,1,0,0,0,21,False
2007-09-04,1,0,0,0,16,False
2007-09-05,0,0,0,0,13,False
2007-09-06,0,0,0,0,11,False
2007-09-07,0,0,0,0,9,False
2007-09-08,0,0,0,0,9,False
2007-09-09,0,0,0,0,8,False
2007-09-10,1,0,0,0,10,False
2007-09-11,0,0,0,0,11,False
2007-09-12,0,0,0,0,9,False
2007-09-13,0,0,0,0,8,False
2007-09-14,0,0,0,0,7,False
2007-09-15,0,0,0,0,7,False
2007-09-16,0,0,0,0,10,False
2007-09-17,0,0,0,0,11,False
2007-09-18,0,0,0,0,11,False
2007-09-19,0,0,0,0,11,False
2007-09-20,0,0,0,0,10,False
2007-09-21,0,0,0,0,12,False
2007-09-22,0,0,0,0,11,False
2007-09-23,0,0,0,0,16,False
