date,Emmitt Smith,Harry Hamlin,Jerry Springer,Joey Lawrence,Dancing with the Stars,isPartial
2006-09-12,0,0,1,1,17,False
2006-09-13,1,1,2,5,53,False
2006-09-14,1,1,1,2,41,False
2006-09-15,0,0,1,0,10,False
2006-09-16,0,1,1,0,6,False
2006-09-17,0,0,0,0,5,False
2006-09-18,0,0,1,0,5,False
2006-09-19,0,0,1,0,8,False
2006-09-20,1,1,2,9,33,False
2006-09-21,0,0,1,4,37,False
2006-09-22,1,0,0,1,9,False
2006-09-23,1,0,1,1,4,False
2006-09-24,0,0,1,0,3,False
2006-09-25,0,0,0,0,4,False
2006-09-26,0,0,1,0,6,False
2006-09-27,1,0,1,5,39,False
2006-09-28,0,2,1,2,40,False
2006-09-29,0,1,1,1,9,False
2006-09-30,0,0,0,0,5,False
2006-10-01,1,0,1,0,4,False
2006-10-02,0,0,0,0,3,False
2006-10-03,0,0,1,0,6,False
2006-10-04,0,0,3,4,31,False
2006-10-05,0,0,2,2,40,False
2006-10-06,0,0,1,0,9,False
2006-10-07,0,0,0,1,5,False
2006-10-08,0,0,1,0,3,False
2006-10-09,0,0,1,0,4,False
2006-10-10,0,0,1,0,6,False
2006-10-11,1,0,2,3,31,False
2006-10-12,0,0,2,2,42,False
2006-10-13,0,0,1,1,46,False
2006-10-14,0,0,1,1,21,False
2006-10-15,0,0,0,0,13,False
2006-10-16,0,0,1,0,14,False
2006-10-17,0,0,1,1,15,False
2006-10-18,1,0,1,4,58,False
2006-10-19,1,0,2,2,45,False
2006-10-20,1,0,1,0,11,False
2006-10-21,0,0,0,1,7,False
2006-10-22,0,0,1,1,4,False
2006-10-23,0,0,1,0,3,False
2006-10-24,1,0,1,0,6,False
2006-10-25,2,0,2,6,29,False
2006-10-26,1,0,2,4,40,False
2006-10-27,0,0,1,0,10,False
2006-10-28,0,0,1,0,6,False
2006-10-29,1,0,0,1,5,False
2006-10-30,0,0,1,0,4,False
2006-10-31,0,0,1,1,6,False
2006-11-01,1,0,1,4,33,False
2006-11-02,1,0,1,3,52,False
2006-11-03,0,0,1,1,16,False
2006-11-04,0,0,1,1,10,False
2006-11-05,0,0,0,0,6,False
2006-11-06,0,0,1,0,5,False
2006-11-07,0,0,1,0,6,False
2006-11-08,2,0,1,6,42,False
2006-11-09,2,0,0,9,66,False
2006-11-10,1,0,1,2,16,False
2006-11-11,1,0,0,1,9,False
2006-11-12,0,0,0,1,6,False
2006-11-13,1,1,1,1,7,False
2006-11-14,1,0,1,1,13,False
2006-11-15,7,0,1,1,100,False
