date,Mario Lopez,Monique Coleman,Sara Evans,Shanna Moakler,Dancing with the Stars,isPartial
2006-07-18,0,0,1,0,2,False
2006-07-19,0,0,2,0,2,False
2006-07-20,0,0,1,0,2,False
2006-07-21,0,0,2,0,0,False
2006-07-22,0,0,3,0,0,False
2006-07-23,0,0,0,0,0,False
2006-07-24,0,0,2,2,2,False
2006-07-25,0,0,2,0,2,False
2006-07-26,0,0,2,0,2,False
2006-07-27,0,0,2,0,0,False
2006-07-28,0,0,0,0,2,False
2006-07-29,0,0,0,0,0,False
2006-07-30,0,0,2,2,0,False
2006-07-31,0,0,2,0,2,False
2006-08-01,0,0,2,0,3,False
2006-08-02,0,0,0,0,3,False
2006-08-03,0,0,2,1,3,False
2006-08-04,0,0,2,0,2,False
2006-08-05,0,0,2,0,0,False
2006-08-06,0,0,0,0,0,False
2006-08-07,0,0,2,0,5,False
2006-08-08,0,0,2,3,7,False
2006-08-09,0,0,1,18,13,False
2006-08-10,0,0,1,39,8,False
2006-08-11,0,0,2,24,13,False
2006-08-12,0,0,0,10,7,False
2006-08-13,0,0,0,5,8,False
2006-08-14,4,12,10,19,100,False
2006-08-15,2,9,8,17,55,False
2006-08-16,1,3,4,13,27,False
2006-08-17,0,2,2,15,24,False
2006-08-18,0,0,2,6,15,False
2006-08-19,0,0,4,5,9,False
2006-08-20,0,0,3,6,11,False
2006-08-21,0,0,2,4,11,False
2006-08-22,0,1,1,3,13,False
2006-08-23,0,0,3,3,12,False
2006-08-24,0,0,3,2,10,False
2006-08-25,0,0,1,2,8,False
2006-08-26,0,0,0,0,5,False
2006-08-27,0,0,0,0,5,False
2006-08-28,1,0,2,1,8,False
2006-08-29,2,0,2,1,7,False
2006-08-30,2,0,3,1,9,False
2006-08-31,1,0,3,0,6,False
2006-09-01,0,0,2,2,5,False
2006-09-02,0,0,0,0,5,False
2006-09-03,2,0,3,3,10,False
2006-09-04,0,0,0,0,7,False
2006-09-05,0,0,1,1,8,False
2006-09-06,2,0,2,0,9,False
2006-09-07,1,0,3,0,8,False
2006-09-08,0,0,4,0,13,False
2006-09-09,0,0,6,0,11,False
2006-09-10,0,0,5,0,16,False
2006-09-11,1,0,3,0,17,False
