date,Rachel Hunter,Trista Sutter,Dancing with the Stars,isPartial
2005-04-06,0,0,0,False
2005-04-07,0,0,0,False
2005-04-08,0,0,0,False
2005-04-09,0,0,0,False
2005-04-10,0,0,0,False
2005-04-11,0,0,0,False
2005-04-12,0,0,0,False
2005-04-13,0,0,0,False
2005-04-14,60,0,0,False
2005-04-15,0,0,0,False
2005-04-16,0,0,0,False
2005-04-17,0,0,0,False
2005-04-18,0,0,0,False
2005-04-19,0,0,0,False
2005-04-20,0,0,0,False
2005-04-21,0,0,0,False
2005-04-22,0,0,0,False
2005-04-23,0,0,0,False
2005-04-24,0,0,0,False
2005-04-25,0,0,0,False
2005-04-26,0,0,0,False
2005-04-27,0,0,0,False
2005-04-28,0,0,0,False
2005-04-29,0,0,0,False
2005-04-30,0,0,0,False
2005-05-01,0,0,0,False
2005-05-02,0,0,0,False
2005-05-03,0,0,0,False
2005-05-04,0,0,0,False
2005-05-05,0,0,0,False
2005-05-06,0,0,0,False
2005-05-07,0,0,0,False
2005-05-08,0,0,0,False
2005-05-09,0,0,0,False
2005-05-10,0,0,0,False
2005-05-11,0,0,0,False
2005-05-12,43,0,0,False
2005-05-13,0,0,0,False
2005-05-14,0,0,0,False
2005-05-15,0,0,0,False
2005-05-16,0,0,46,False
2005-05-17,0,0,46,False
2005-05-18,0,0,0,False
2005-05-19,0,0,0,False
2005-05-20,0,0,0,False
2005-05-21,0,0,0,False
2005-05-22,0,0,0,False
2005-05-23,0,0,63,False
2005-05-24,0,0,0,False
2005-05-25,0,0,0,False
2005-05-26,0,0,49,False
2005-05-27,0,0,0,False
2005-05-28,0,0,0,False
2005-05-29,0,0,0,False
2005-05-30,0,0,0,False
2005-05-31,100,0,88,False
